ppm,Intensity
10.77952655,-7.23354E-07
10.77929726,1.0519E-07
10.77906797,4.85756E-07
10.77883867,-2.99183E-07
10.77860938,-8.89009E-07
10.77838009,6.03906E-08
10.77815079,1.43192E-06
10.7779215,1.47853E-06
10.77769221,4.8493E-07
10.77746291,-3.13524E-07
10.77723362,-8.14354E-07
10.77700433,-1.32999E-06
10.77677503,-1.27851E-06
10.77654574,-1.7778E-07
10.77631645,1.13366E-06
10.77608716,1.50819E-06
10.77585786,9.51446E-07
10.77562857,3.31427E-07
10.77539928,3.92595E-07
10.77516998,1.41111E-06
10.77494069,2.9098E-06
10.7747114,3.60361E-06
10.7744821,2.67206E-06
10.77425281,9.64029E-07
10.77402352,-1.9964E-07
10.77379422,-9.50081E-07
10.77356493,-2.10744E-06
10.77333564,-3.09402E-06
10.77310634,-2.61425E-06
10.77287705,-1.14277E-06
10.77264776,-4.96512E-07
10.77241847,-8.98543E-07
10.77218917,-8.19207E-07
10.77195988,1.21165E-07
10.77173059,5.9238E-07
10.77150129,6.1106E-08
10.771272,-5.55424E-07
10.77104271,-7.17405E-07
10.77081341,-7.55052E-07
10.77058412,-9.57343E-07
10.77035483,-1.31684E-06
10.77012553,-1.29676E-06
10.76989624,-4.70029E-08
10.76966695,1.73591E-06
10.76943766,1.85695E-06
10.76920836,2.1655E-07
10.76897907,-6.66131E-07
10.76874978,-1.2082E-07
10.76852048,-1.84663E-07
10.76829119,-1.16867E-06
10.7680619,-9.74828E-07
10.7678326,8.94558E-07
10.76760331,2.58579E-06
10.76737402,2.6737E-06
10.76714472,1.24803E-06
10.76691543,-5.46025E-07
10.76668614,-1.24199E-06
10.76645685,-6.75399E-07
10.76622755,-3.90798E-08
10.76599826,3.78948E-07
10.76576897,1.00224E-06
10.76553967,6.86299E-07
10.76531038,-1.568E-06
10.76508109,-3.4731E-06
10.76485179,-2.2718E-06
10.7646225,7.51854E-07
10.76439321,2.566E-06
10.76416391,3.03339E-06
10.76393462,3.52977E-06
10.76370533,3.55951E-06
10.76347604,2.42757E-06
10.76324674,1.7052E-06
10.76301745,2.6634E-06
10.76278816,3.74777E-06
10.76255886,3.36583E-06
10.76232957,2.44574E-06
10.76210028,2.11337E-06
10.76187098,1.84106E-06
10.76164169,1.22765E-06
10.7614124,6.80472E-07
10.7611831,2.1422E-07
10.76095381,2.66476E-08
10.76072452,7.66137E-07
10.76049523,1.45627E-06
10.76026593,1.41438E-07
10.76003664,-2.49599E-06
10.75980735,-3.93289E-06
10.75957805,-3.86625E-06
10.75934876,-3.57443E-06
10.75911947,-2.94358E-06
10.75889017,-1.77678E-06
10.75866088,-1.49009E-06
10.75843159,-2.57862E-06
10.75820229,-3.12961E-06
10.757973,-1.65848E-06
10.75774371,9.50844E-07
10.75751442,2.85417E-06
10.75728512,2.79886E-06
10.75705583,9.18286E-07
10.75682654,-7.66083E-07
10.75659724,-1.88618E-07
10.75636795,1.60391E-06
10.75613866,1.60522E-06
10.75590936,-1.60706E-07
10.75568007,-3.70025E-07
10.75545078,1.70279E-06
10.75522148,2.43044E-06
10.75499219,-8.05991E-08
10.7547629,-2.76482E-06
10.7545336,-2.69051E-06
10.75430431,-1.04686E-06
10.75407502,-2.36957E-07
10.75384573,-7.6964E-07
10.75361643,-2.02989E-06
10.75338714,-3.22944E-06
10.75315785,-3.47321E-06
10.75292855,-2.5618E-06
10.75269926,-1.13322E-06
10.75246997,3.16954E-07
10.75224067,1.54422E-06
10.75201138,2.31649E-06
10.75178209,2.76979E-06
10.75155279,2.83193E-06
10.7513235,1.64287E-06
10.75109421,-7.34254E-07
10.75086492,-2.29274E-06
10.75063562,-1.72518E-06
10.75040633,-3.89882E-07
10.75017704,1.7532E-08
10.74994774,-1.84777E-07
10.74971845,-3.99342E-08
10.74948916,1.88076E-07
10.74925986,6.22647E-09
10.74903057,2.00064E-07
10.74880128,1.60209E-06
10.74857198,2.93167E-06
10.74834269,1.88435E-06
10.7481134,-1.4082E-06
10.74788411,-4.0013E-06
10.74765481,-3.88711E-06
10.74742552,-2.2919E-06
10.74719623,-1.27429E-06
10.74696693,-7.27384E-07
10.74673764,5.26865E-07
10.74650835,1.78033E-06
10.74627905,1.28164E-06
10.74604976,-1.10999E-07
10.74582047,4.02122E-07
10.74559117,2.70987E-06
10.74536188,3.67368E-06
10.74513259,2.45526E-06
10.7449033,1.39596E-06
10.744674,1.29678E-06
10.74444471,5.15958E-07
10.74421542,-1.27005E-06
10.74398612,-2.34778E-06
10.74375683,-1.61549E-06
10.74352754,2.66755E-07
10.74329824,1.47613E-06
10.74306895,6.03541E-07
10.74283966,-1.16838E-06
10.74261036,-1.16556E-06
10.74238107,5.81182E-07
10.74215178,1.52385E-06
10.74192249,1.18101E-06
10.74169319,1.20391E-06
10.7414639,1.55541E-06
10.74123461,1.19507E-06
10.74100531,8.44966E-07
10.74077602,9.47625E-07
10.74054673,-1.75108E-07
10.74031743,-2.53924E-06
10.74008814,-2.83494E-06
10.73985885,1.75511E-07
10.73962955,2.83534E-06
10.73940026,2.1214E-06
10.73917097,-1.28867E-08
10.73894168,-4.40972E-07
10.73871238,4.69876E-07
10.73848309,4.05812E-07
10.7382538,-1.17065E-06
10.7380245,-2.72987E-06
10.73779521,-2.7378E-06
10.73756592,-1.20869E-06
10.73733662,1.14135E-07
10.73710733,-4.81924E-07
10.73687804,-2.34845E-06
10.73664874,-3.24824E-06
10.73641945,-2.54542E-06
10.73619016,-1.52202E-06
10.73596086,-8.48512E-07
10.73573157,-4.11784E-07
10.73550228,-8.23776E-07
10.73527299,-2.23043E-06
10.73504369,-3.05982E-06
10.7348144,-2.42305E-06
10.73458511,-1.39416E-06
10.73435581,-2.65879E-07
10.73412652,1.89032E-06
10.73389723,4.14446E-06
10.73366793,4.583E-06
10.73343864,3.91232E-06
10.73320935,3.57154E-06
10.73298005,2.23827E-06
10.73275076,-1.02787E-06
10.73252147,-3.4484E-06
10.73229218,-2.75262E-06
10.73206288,-9.1094E-07
10.73183359,-5.40988E-07
10.7316043,-1.55269E-06
10.731375,-2.70723E-06
10.73114571,-2.96539E-06
10.73091642,-1.72199E-06
10.73068712,-4.74396E-09
10.73045783,6.93433E-07
10.73022854,1.21694E-06
10.72999924,2.73677E-06
10.72976995,3.38103E-06
10.72954066,1.43972E-06
10.72931137,-9.46165E-07
10.72908207,-1.70181E-06
10.72885278,-2.31216E-06
10.72862349,-3.82937E-06
10.72839419,-4.38035E-06
10.7281649,-3.27733E-06
10.72793561,-2.53425E-06
10.72770631,-2.82204E-06
10.72747702,-2.62703E-06
