ppm,intensity
12.28226281,7.017E-06
12.2819765,1.03565E-05
12.2816902,9.24697E-06
12.28140389,4.17532E-06
12.28111758,-8.90202E-07
12.28083128,-3.51046E-06
12.28054497,-4.44594E-06
12.28025866,-3.76441E-06
12.27997236,-4.7489E-07
12.27968605,2.93632E-06
12.27939974,1.67083E-06
12.27911344,-3.62833E-06
12.27882713,-6.38308E-06
12.27854082,-4.048E-06
12.27825452,-2.24786E-06
12.27796821,-5.27042E-06
12.27768191,-8.92205E-06
12.2773956,-8.09435E-06
12.27710929,-5.50073E-06
12.27682299,-6.21874E-06
12.27653668,-8.50259E-06
12.27625037,-7.86666E-06
12.27596407,-6.52535E-06
12.27567776,-9.74354E-06
12.27539145,-1.47507E-05
12.27510515,-1.29542E-05
12.27481884,-3.61732E-06
12.27453253,3.61606E-06
12.27424623,1.89031E-06
12.27395992,-4.8536E-06
12.27367361,-9.57847E-06
12.27338731,-1.06936E-05
12.273101,-9.47844E-06
12.27281469,-5.40954E-06
12.27252839,1.319E-06
12.27224208,7.08565E-06
12.27195578,8.9191E-06
12.27166947,8.16854E-06
12.27138316,7.01876E-06
12.27109686,4.63327E-06
12.27081055,-1.12054E-07
12.27052424,-5.07348E-06
12.27023794,-7.3726E-06
12.26995163,-7.35045E-06
12.26966532,-7.15193E-06
12.26937902,-7.14185E-06
12.26909271,-6.20607E-06
12.2688064,-4.15727E-06
12.2685201,-1.83476E-06
12.26823379,-1.42532E-07
12.26794748,-2.73488E-07
12.26766118,-2.79253E-06
12.26737487,-5.00813E-06
12.26708856,-2.11506E-06
12.26680226,6.28358E-06
12.26651595,1.32084E-05
12.26622964,1.16101E-05
12.26594334,3.41795E-06
12.26565703,-2.58508E-06
12.26537073,-1.56156E-06
12.26508442,2.61121E-06
12.26479811,3.84678E-06
12.26451181,1.15774E-06
12.2642255,-2.39244E-06
12.26393919,-4.94462E-06
12.26365289,-7.16786E-06
12.26336658,-9.65254E-06
12.26308027,-1.14686E-05
12.26279397,-1.13121E-05
12.26250766,-8.95813E-06
12.26222135,-5.61841E-06
12.26193505,-3.13213E-06
12.26164874,-2.31699E-06
12.26136243,-2.18988E-06
12.26107613,-1.5214E-06
12.26078982,-5.33487E-07
12.26050351,2.30549E-07
12.26021721,1.60511E-06
12.2599309,3.96524E-06
12.2596446,4.66055E-06
12.25935829,9.27265E-07
12.25907198,-4.5709E-06
12.25878568,-5.27859E-06
12.25849937,8.71317E-07
12.25821306,8.44645E-06
12.25792676,1.16793E-05
12.25764045,1.07951E-05
12.25735414,8.77223E-06
12.25706784,5.82598E-06
12.25678153,9.61245E-07
12.25649522,-3.90262E-06
12.25620892,-5.72317E-06
12.25592261,-4.69297E-06
12.2556363,-3.14312E-06
12.25535,-1.51193E-06
12.25506369,1.02442E-06
12.25477738,3.25098E-06
12.25449108,3.17745E-06
12.25420477,1.8566E-06
12.25391847,2.01321E-06
12.25363216,3.13448E-06
12.25334585,2.02107E-06
12.25305955,-1.25051E-06
12.25277324,-2.09299E-06
12.25248693,2.01879E-06
12.25220063,7.13526E-06
12.25191432,7.79702E-06
12.25162801,4.09996E-06
12.25134171,4.59597E-07
12.2510554,-1.27691E-06
12.25076909,-3.34338E-06
12.25048279,-6.56381E-06
12.25019648,-7.82606E-06
12.24991017,-5.09695E-06
12.24962387,-1.25619E-06
12.24933756,2.22502E-07
12.24905125,4.91182E-07
12.24876495,2.50263E-06
12.24847864,5.48861E-06
12.24819234,6.71743E-06
12.24790603,6.81907E-06
12.24761972,8.30703E-06
12.24733342,1.00509E-05
12.24704711,8.6716E-06
12.2467608,5.01987E-06
12.2464745,3.8515E-06
12.24618819,6.7356E-06
12.24590188,1.0098E-05
12.24561558,1.0664E-05
12.24532927,8.4561E-06
12.24504296,4.46249E-06
12.24475666,-8.05389E-08
12.24447035,-2.2085E-06
12.24418404,1.84731E-07
12.24389774,4.17114E-06
12.24361143,4.72062E-06
12.24332512,1.75786E-06
12.24303882,-1.55892E-07
12.24275251,1.18226E-06
12.2424662,3.78306E-06
12.2421799,6.35413E-06
12.24189359,9.71855E-06
12.24160729,1.29242E-05
12.24132098,1.3168E-05
12.24103467,1.0768E-05
12.24074837,9.49438E-06
12.24046206,1.02978E-05
12.24017575,8.87328E-06
12.23988945,1.7145E-06
12.23960314,-8.4868E-06
12.23931683,-1.58282E-05
12.23903053,-1.77547E-05
12.23874422,-1.69193E-05
12.23845791,-1.75819E-05
12.23817161,-2.10865E-05
12.2378853,-2.41531E-05
12.23759899,-2.15865E-05
12.23731269,-1.18395E-05
12.23702638,1.76742E-07
12.23674007,7.23917E-06
12.23645377,6.91217E-06
12.23616746,3.13653E-06
12.23588116,5.63139E-07
12.23559485,-6.93015E-07
12.23530854,-2.92405E-06
12.23502224,-4.63072E-06
12.23473593,-1.38248E-08
12.23444962,1.30322E-05
12.23416332,2.66031E-05
12.23387701,2.90875E-05
12.2335907,1.86434E-05
12.2333044,6.0503E-06
12.23301809,1.5944E-06
12.23273178,3.24682E-06
12.23244548,2.28746E-06
12.23215917,-2.72715E-06
12.23187286,-4.48768E-06
12.23158656,8.9595E-07
12.23130025,7.35154E-06
12.23101394,7.59191E-06
12.23072764,3.39455E-06
12.23044133,2.05914E-06
12.23015503,4.81214E-06
12.22986872,4.85248E-06
12.22958241,-1.54204E-06
12.22929611,-7.32249E-06
12.2290098,-3.27464E-06
12.22872349,8.11069E-06
12.22843719,1.43803E-05
12.22815088,9.57669E-06
12.22786457,1.74203E-06
12.22757827,6.394E-07
12.22729196,5.09131E-06
12.22700565,8.36643E-06
12.22671935,9.82026E-06
12.22643304,1.28664E-05
12.22614673,1.54559E-05
12.22586043,1.17947E-05
12.22557412,2.08655E-06
12.22528781,-7.2735E-06
12.22500151,-1.2261E-05
12.2247152,-1.31658E-05
12.2244289,-9.73495E-06
12.22414259,-2.02671E-06
12.22385628,4.81984E-06
12.22356998,4.40021E-06
12.22328367,-2.058E-06
12.22299736,-6.98122E-06
12.22271106,-6.49716E-06
12.22242475,-3.09326E-06
12.22213844,1.12678E-06
12.22185214,6.69924E-06
12.22156583,1.1578E-05
12.22127952,1.07045E-05
12.22099322,3.48047E-06
12.22070691,-3.4859E-06
12.2204206,-4.23318E-06
12.2201343,-5.69511E-07
12.21984799,1.49121E-06
12.21956168,-1.54271E-07
12.21927538,-2.19861E-06
12.21898907,-1.39612E-06
12.21870276,1.2658E-06
12.21841646,2.34779E-06
12.21813015,4.34581E-07
12.21784385,-2.22156E-06
12.21755754,-2.41323E-06
12.21727123,3.53151E-07
12.21698493,3.51556E-06
12.21669862,4.74778E-06
12.21641231,4.68581E-06
12.21612601,5.47645E-06
12.2158397,7.11781E-06
12.21555339,6.97058E-06
12.21526709,3.59891E-06
12.21498078,-5.28536E-07
12.21469447,-1.79599E-06
12.21440817,2.31089E-07
12.21412186,3.31708E-06
